S_0,S_1,I_0,I_1,I_2,I_3,ch1,ch2,ch3,ch4,GFP1,GFP2,GFP3,GFP4
0,0,0,0,0,0,7059.37,5900.65,7059.37,4846.62,1.18,1.39,1.18,1.91
0,0,0,0,0,1,7059.37,5900.65,7059.37,10898.83,1.18,1.39,1.18,1.03
0,0,0,0,1,0,7059.37,5900.65,7975.62,4846.62,1.18,1.39,1.11,1.91
0,0,0,0,1,1,7059.37,5900.65,7975.62,10898.83,1.18,1.39,1.11,1.03
0,0,0,1,0,0,7059.37,9780.75,7059.37,4846.62,1.18,1.04,1.18,1.91
0,0,0,1,0,1,7059.37,9780.75,7059.37,10898.83,1.18,1.04,1.18,1.03
0,0,0,1,1,0,7059.37,9780.75,7975.62,4846.62,1.18,1.04,1.11,1.91
0,0,0,1,1,1,7059.37,9780.75,7975.62,10898.83,1.18,1.04,1.11,1.03
0,0,1,0,0,0,12974.45,5900.65,7059.37,4846.62,1.01,1.39,1.18,1.91
0,0,1,0,0,1,12974.45,5900.65,7059.37,10898.83,1.01,1.39,1.18,1.03
0,0,1,0,1,0,12974.45,5900.65,7975.62,4846.62,1.01,1.39,1.11,1.91
0,0,1,0,1,1,12974.45,5900.65,7975.62,10898.83,1.01,1.39,1.11,1.03
0,0,1,1,0,0,12974.45,9780.75,7059.37,4846.62,1.01,1.04,1.18,1.91
0,0,1,1,0,1,12974.45,9780.75,7059.37,10898.83,1.01,1.04,1.18,1.03
0,0,1,1,1,0,12974.45,9780.75,7975.62,4846.62,1.01,1.04,1.11,1.91
0,0,1,1,1,1,12974.45,9780.75,7975.62,10898.83,1.01,1.04,1.11,1.03
0,1,0,0,0,0,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,0,0,0,1,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,0,0,1,0,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,0,0,1,1,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,0,1,0,0,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,0,1,0,1,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,0,1,1,0,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,0,1,1,1,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,1,0,0,0,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,1,0,0,1,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,1,0,1,0,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,1,0,1,1,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,1,1,0,0,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,1,1,0,1,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,1,1,1,0,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
0,1,1,1,1,1,22211.76,16225.35,22211.76,16225.35,1.00,1.00,1.00,1.00
1,0,0,0,0,0,32330053.96,32330053.96,10261.70,10261.70,1.00,1.00,1.04,1.04
1,0,0,0,0,1,32330053.96,32330053.96,10261.70,10898.83,1.00,1.00,1.04,1.03
1,0,0,0,1,0,32330053.96,32330053.96,10261.70,10261.70,1.00,1.00,1.04,1.04
1,0,0,0,1,1,32330053.96,32330053.96,10261.70,10898.83,1.00,1.00,1.04,1.03
1,0,0,1,0,0,32330053.96,32330053.96,10261.70,10261.70,1.00,1.00,1.04,1.04
1,0,0,1,0,1,32330053.96,32330053.96,10261.70,10898.83,1.00,1.00,1.04,1.03
1,0,0,1,1,0,32330053.96,32330053.96,10261.70,10261.70,1.00,1.00,1.04,1.04
1,0,0,1,1,1,32330053.96,32330053.96,10261.70,10898.83,1.00,1.00,1.04,1.03
1,0,1,0,0,0,32330053.96,32330053.96,10261.70,10261.70,1.00,1.00,1.04,1.04
1,0,1,0,0,1,32330053.96,32330053.96,10261.70,10898.83,1.00,1.00,1.04,1.03
1,0,1,0,1,0,32330053.96,32330053.96,10261.70,10261.70,1.00,1.00,1.04,1.04
1,0,1,0,1,1,32330053.96,32330053.96,10261.70,10898.83,1.00,1.00,1.04,1.03
1,0,1,1,0,0,32330053.96,32330053.96,10261.70,10261.70,1.00,1.00,1.04,1.04
1,0,1,1,0,1,32330053.96,32330053.96,10261.70,10898.83,1.00,1.00,1.04,1.03
1,0,1,1,1,0,32330053.96,32330053.96,10261.70,10261.70,1.00,1.00,1.04,1.04
1,0,1,1,1,1,32330053.96,32330053.96,10261.70,10898.83,1.00,1.00,1.04,1.03
1,1,0,0,0,0,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,0,0,0,1,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,0,0,1,0,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,0,0,1,1,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,0,1,0,0,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,0,1,0,1,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,0,1,1,0,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,0,1,1,1,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,1,0,0,0,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,1,0,0,1,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,1,0,1,0,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,1,0,1,1,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,1,1,0,0,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,1,1,0,1,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,1,1,1,0,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
1,1,1,1,1,1,32330053.96,32330053.96,22211.76,16225.35,1.00,1.00,1.00,1.00
