S_0,S_1,I_0,I_1,I_2,I_3,ch1,ch2,ch3,ch4,GFP1,GFP2,GFP3,GFP4
0,0,0,0,0,0,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,0,0,0,0,1000,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,0,0,0,1000,0,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,0,0,0,1000,1000,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,0,0,1000,0,0,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,0,0,1000,0,1000,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,0,0,1000,1000,0,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,0,0,1000,1000,1000,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,0,1000,0,0,0,4.10,95.00,95.00,95.00,94.88,4.15,4.15,4.15
0,0,1000,0,0,1000,4.10,95.00,95.00,95.00,94.88,4.15,4.15,4.15
0,0,1000,0,1000,0,4.10,95.00,95.00,95.00,94.88,4.15,4.15,4.15
0,0,1000,0,1000,1000,4.10,95.00,95.00,95.00,94.88,4.15,4.15,4.15
0,0,1000,1000,0,0,4.10,95.00,95.00,95.00,94.88,4.15,4.15,4.15
0,0,1000,1000,0,1000,4.10,95.00,95.00,95.00,94.88,4.15,4.15,4.15
0,0,1000,1000,1000,0,4.10,95.00,95.00,95.00,94.88,4.15,4.15,4.15
0,0,1000,1000,1000,1000,4.10,95.00,95.00,95.00,94.88,4.15,4.15,4.15
0,1000,0,0,0,0,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,1000,0,0,0,1000,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,1000,0,0,1000,0,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,1000,0,0,1000,1000,95.00,95.00,95.00,95.00,4.15,4.15,4.15,4.15
0,1000,0,1000,0,0,95.00,4.10,95.00,95.00,4.15,94.88,4.15,4.15
0,1000,0,1000,0,1000,95.00,4.10,95.00,95.00,4.15,94.88,4.15,4.15
0,1000,0,1000,1000,0,95.00,4.10,95.00,95.00,4.15,94.88,4.15,4.15
0,1000,0,1000,1000,1000,95.00,4.10,95.00,95.00,4.15,94.88,4.15,4.15
0,1000,1000,0,0,0,88.79,95.00,95.00,95.00,5.06,4.15,4.15,4.15
0,1000,1000,0,0,1000,88.79,95.00,95.00,95.00,5.06,4.15,4.15,4.15
0,1000,1000,0,1000,0,88.79,95.00,95.00,95.00,5.06,4.15,4.15,4.15
0,1000,1000,0,1000,1000,88.79,95.00,95.00,95.00,5.06,4.15,4.15,4.15
0,1000,1000,1000,0,0,88.79,4.10,95.00,95.00,5.06,94.88,4.15,4.15
0,1000,1000,1000,0,1000,88.79,4.10,95.00,95.00,5.06,94.88,4.15,4.15
