S_0,S_1,I_0,I_1,I_2,I_3,ch1,ch2,ch3,ch4,GFP1,GFP2,GFP3,GFP4
0,0,0,0,0,0,4731.50,2874.94,3740.15,4731.50,2.01,8.97,3.72,2.01
0,0,0,0,0,1,1401.31,2874.94,3740.15,3740.15,65.31,8.97,3.72,3.72
0,0,0,0,1,0,4731.50,2874.94,3740.15,4731.50,2.01,8.97,3.72,2.01
0,0,0,0,1,1,1401.31,2874.94,3740.15,3740.15,65.31,8.97,3.72,3.72
0,0,0,1,0,0,4731.50,2816.34,3740.15,4731.50,2.01,9.64,3.72,2.01
0,0,0,1,0,1,1401.31,2816.34,3740.15,3740.15,65.31,9.64,3.72,3.72
0,0,0,1,1,0,4731.50,2816.34,3740.15,4731.50,2.01,9.64,3.72,2.01
0,0,0,1,1,1,1401.31,2816.34,3740.15,3740.15,65.31,9.64,3.72,3.72
0,0,1,0,0,0,4731.50,2874.94,3740.15,4731.50,2.01,8.97,3.72,2.01
0,0,1,0,0,1,1401.31,2874.94,3740.15,3740.15,65.31,8.97,3.72,3.72
0,0,1,0,1,0,4731.50,2874.94,3740.15,4731.50,2.01,8.97,3.72,2.01
0,0,1,0,1,1,1401.31,2874.94,3740.15,3740.15,65.31,8.97,3.72,3.72
0,0,1,1,0,0,4731.50,2816.34,3740.15,4731.50,2.01,9.64,3.72,2.01
0,0,1,1,0,1,1401.31,2816.34,3740.15,3740.15,65.31,9.64,3.72,3.72
0,0,1,1,1,0,4731.50,2816.34,3740.15,4731.50,2.01,9.64,3.72,2.01
0,0,1,1,1,1,1401.31,2816.34,3740.15,3740.15,65.31,9.64,3.72,3.72
0,1,0,0,0,0,4731.50,2874.94,3740.15,4731.50,2.01,8.97,3.72,2.01
0,1,0,0,0,1,2393.54,2874.94,3740.15,3740.15,16.95,8.97,3.72,3.72
0,1,0,0,1,0,4731.50,2874.94,3740.15,4731.50,2.01,8.97,3.72,2.01
0,1,0,0,1,1,2393.54,2874.94,3740.15,3740.15,16.95,8.97,3.72,3.72
0,1,0,1,0,0,4731.50,1070.80,3740.15,4731.50,2.01,84.64,3.72,2.01
0,1,0,1,0,1,2393.54,1070.80,3740.15,3740.15,16.95,84.64,3.72,3.72
0,1,0,1,1,0,4731.50,1070.80,3740.15,4731.50,2.01,84.64,3.72,2.01
0,1,0,1,1,1,2393.54,1070.80,3740.15,3740.15,16.95,84.64,3.72,3.72
0,1,1,0,0,0,4731.50,2874.94,3740.15,4731.50,2.01,8.97,3.72,2.01
0,1,1,0,0,1,2393.54,2874.94,3740.15,3740.15,16.95,8.97,3.72,3.72
0,1,1,0,1,0,4731.50,2874.94,3740.15,4731.50,2.01,8.97,3.72,2.01
0,1,1,0,1,1,2393.54,2874.94,3740.15,3740.15,16.95,8.97,3.72,3.72
0,1,1,1,0,0,4731.50,1070.80,3740.15,4731.50,2.01,84.64,3.72,2.01
0,1,1,1,0,1,2393.54,1070.80,3740.15,3740.15,16.95,84.64,3.72,3.72
0,1,1,1,1,0,4731.50,1070.80,3740.15,4731.50,2.01,84.64,3.72,2.01
0,1,1,1,1,1,2393.54,1070.80,3740.15,3740.15,16.95,84.64,3.72,3.72
1,0,0,0,0,0,870177.83,870177.83,3254.53,4731.50,1.00,1.00,5.84,2.01
1,0,0,0,0,1,870177.83,870177.83,3254.53,2816.34,1.00,1.00,5.84,9.64
